run,run_name,data,size,seed,V,params,lr,batch_size,accum,eff_batch,steps_target,steps_completed,tokens_target,tokens_seen,n_history_rows,n_val_points,has_logged_gauss_nll,gauss_nll_source,best_step_mse,best_val_mse,best_step_mae,best_val_mae,best_step_gauss_nll,best_val_gauss_nll,val_mae_at_best_mse,val_gauss_nll_at_best_mse,final_step,final_val_mse,final_val_mae,final_val_gauss_nll
runs\sweep_gpu_census200k_60k_xxs\XXS_V512_B4x8_S60000_seed7,XXS_V512_B4x8_S60000_seed7,E:\Code\scalinglaws\scalinglaws\data\census_human.D200000.V512.log1p.h5ad,XXS,7,512,533,3.125e-05,4,8,32,60000,60000,983040000,983040000,362,61,False,derived_from_best_mse,60000,2.095893610429764,2000,0.5870522727251053,-1,1.7889285365985723,0.9434301993846893,1.7889285365985723,60000,2.095893610429764,0.9434301993846893,1.7889285365985723
runs\sweep_gpu_census200k_60k_xxs\XXS_V512_B4x8_S60000_seed8,XXS_V512_B4x8_S60000_seed8,E:\Code\scalinglaws\scalinglaws\data\census_human.D200000.V512.log1p.h5ad,XXS,8,512,533,3.125e-05,4,8,32,60000,60000,983040000,983040000,362,61,False,derived_from_best_mse,60000,2.0723664076685906,1000,0.5883394371062517,-1,1.7832841064252671,0.9402431493759156,1.7832841064252671,60000,2.0723664076685906,0.9402431493759156,1.7832841064252671
runs\sweep_gpu_census200k_60k_xxs\XXS_V512_B4x8_S60000_seed9,XXS_V512_B4x8_S60000_seed9,E:\Code\scalinglaws\scalinglaws\data\census_human.D200000.V512.log1p.h5ad,XXS,9,512,533,3.125e-05,4,8,32,60000,60000,983040000,983040000,362,61,False,derived_from_best_mse,60000,2.1351019425392153,1000,0.582091902127862,-1,1.7981957301059746,0.9578855152845382,1.7981957301059746,60000,2.1351019425392153,0.9578855152845382,1.7981957301059746
runs\sweep_gpu_census200k_60k_tinyL\TINY_V512_B4x8_S60000_seed7,TINY_V512_B4x8_S60000_seed7,E:\Code\scalinglaws\scalinglaws\data\census_human.D200000.V512.log1p.h5ad,TINY,7,512,9953,3.125e-05,4,8,32,60000,60000,983040000,983040000,362,61,False,derived_from_best_mse,59000,1.6076449878096581,53000,0.6859147311151028,-1,1.6563237170327862,0.701029513156414,1.6563237170327862,60000,1.6082778548300267,0.7060050385475158,1.656520508765519
runs\sweep_gpu_census200k_60k_tinyL\TINY_V512_B4x8_S60000_seed8,TINY_V512_B4x8_S60000_seed8,E:\Code\scalinglaws\scalinglaws\data\census_human.D200000.V512.log1p.h5ad,TINY,8,512,9953,3.125e-05,4,8,32,60000,60000,983040000,983040000,362,61,False,derived_from_best_mse,60000,1.6035126973748206,34000,0.6847445256173611,-1,1.6550368625332643,0.7065622047126293,1.6550368625332643,60000,1.6035126973748206,0.7065622047126293,1.6550368625332643
runs\sweep_gpu_census200k_60k_tinyL\TINY_V512_B4x8_S60000_seed9,TINY_V512_B4x8_S60000_seed9,E:\Code\scalinglaws\scalinglaws\data\census_human.D200000.V512.log1p.h5ad,TINY,9,512,9953,3.125e-05,4,8,32,60000,60000,983040000,983040000,362,61,False,derived_from_best_mse,60000,1.5886685754418373,35000,0.6861811631977558,-1,1.650386678956068,0.6912889267325402,1.650386678956068,60000,1.5886685754418373,0.6912889267325402,1.650386678956068
runs\sweep_gpu_census200k\XS_V512_B4x8_S30000_seed7,XS_V512_B4x8_S30000_seed7,E:\Code\scalinglaws\scalinglaws\data\census_human.D200000.V512.log1p.h5ad,XS,7,512,132993,3.125e-05,4,8,32,30000,30000,491520000,491520000,332,31,False,derived_from_best_mse,30000,1.577455768316984,29000,0.667705163103342,-1,1.64684517117386,0.6903393302321434,1.64684517117386,30000,1.577455768316984,0.6903393302321434,1.64684517117386
runs\sweep_gpu_census200k_60k_seeds\XS_V512_B4x8_S60000_seed7,XS_V512_B4x8_S60000_seed7,E:\Code\scalinglaws\scalinglaws\data\census_human.D200000.V512.log1p.h5ad,XS,7,512,132993,3.125e-05,4,8,32,60000,60000,983040000,983040000,362,61,False,derived_from_best_mse,60000,1.526984889882803,60000,0.6432405509352684,-1,1.6305860986503737,0.6432405509352684,1.6305860986503737,60000,1.526984889882803,0.6432405509352684,1.6305860986503737
runs\sweep_gpu_census200k_60k_seeds\XS_V512_B4x8_S60000_seed8,XS_V512_B4x8_S60000_seed8,E:\Code\scalinglaws\scalinglaws\data\census_human.D200000.V512.log1p.h5ad,XS,8,512,132993,3.125e-05,4,8,32,60000,60000,983040000,983040000,362,61,False,derived_from_best_mse,59000,1.5069818099617958,58000,0.6463702447474002,-1,1.6239929578085424,0.677936084407568,1.6239929578085424,60000,1.5115879911780357,0.6873000678539276,1.6255189072133556
runs\sweep_gpu_census200k_60k_seeds\XS_V512_B4x8_S60000_seed9,XS_V512_B4x8_S60000_seed9,E:\Code\scalinglaws\scalinglaws\data\census_human.D200000.V512.log1p.h5ad,XS,9,512,132993,3.125e-05,4,8,32,60000,60000,983040000,983040000,362,61,False,derived_from_best_mse,57000,1.509789845573902,58000,0.6325467138171196,-1,1.624923766216901,0.6694373017907143,1.624923766216901,60000,1.511601976442337,0.6417314399600029,1.6255235332092246
