V,x_axis,metric,run,size,seed,x,y,y_hat,residual_linear,residual_log
512,params,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_tinyL\L_V512_B4x8_S60000_seed7,L,7,100510801.0,1.610932750962496,1.6055057837290052,0.005426967233490787,0.32773799864580555
512,params,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_tinyL\L_V512_B4x8_S60000_seed8,L,8,100510801.0,1.6136703308272744,1.6055057837290052,0.008164547098269193,0.45961229453633834
512,params,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_tinyL\L_V512_B4x8_S60000_seed9,L,9,100510801.0,1.616707535322823,1.6055057837290052,0.011201751593817866,0.588068041551709
512,params,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_seeds\M_V512_B4x8_S60000_seed7,M,7,19178497.0,1.6093130928242123,1.6104316909847876,-0.001118598160575246,-0.06094489073000542
512,params,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_seeds\M_V512_B4x8_S60000_seed8,M,8,19178497.0,1.6092339915796376,1.6104316909847876,-0.0011976994051499101,-0.06539852426882842
512,params,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_seeds\M_V512_B4x8_S60000_seed9,M,9,19178497.0,1.607588338004407,1.6104316909847876,-0.0028433529803806312,-0.16285897903816426
512,params,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_seeds\S_V512_B4x8_S60000_seed7,S,7,859137.0,1.6176053964909223,1.6248147486586482,-0.007209352167725891,-0.24396143334389064
512,params,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_seeds\S_V512_B4x8_S60000_seed8,S,8,859137.0,1.6124202072385516,1.6248147486586482,-0.01239454142009655,-0.46550625586404815
512,params,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_seeds\S_V512_B4x8_S60000_seed9,S,9,859137.0,1.6170826525581872,1.6248147486586482,-0.0077320961004609945,-0.264198754397607
512,params,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_tinyL\TINY_V512_B4x8_S60000_seed7,TINY,7,9953.0,1.6563237170327862,1.6664994700882865,-0.010175753055500225,-0.1458355805449587
512,params,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_tinyL\TINY_V512_B4x8_S60000_seed8,TINY,8,9953.0,1.6550368625332643,1.6664994700882865,-0.011462607555022153,-0.16589076283734228
512,params,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_tinyL\TINY_V512_B4x8_S60000_seed9,TINY,9,9953.0,1.650386678956068,1.6664994700882865,-0.01611279113221853,-0.24191159398363382
