run_dir,size,vocab_size,params,steps,batch_size,accum,effective_batch,data,best_val_mse,best_val_mae,best_step,final_val_mse,final_val_mae,final_step,completed
runs\bench_cpu_xs,,,,150,,,,,1.218964,0.666603,150,1.218964,0.666603,150,yes
runs\bench_cpu_xs_300,,,,300,,,,,1.195007,0.640599,300,1.195007,0.640599,300,yes
runs\bench_gpu_xs,,,,150,,,,,1.227894,0.621921,150,1.227894,0.621921,150,yes
runs\bench_gpu_xs_300,,,,300,,,,,1.212002,0.594191,300,1.212002,0.594191,300,yes
runs\demo_xs,,,,15000,,,,,1.124678,0.581488,14920,1.130646,0.649249,15000,yes
runs\quick_gpu_xs,,,,200,,,,,1.203095,0.618067,200,1.203095,0.618067,200,yes
runs\quick_gpu_xs_100,,,,100,,,,,1.227344,0.639314,100,1.227344,0.639314,100,yes
runs\smoke_xs,,,,50,,,,,1.528182,0.850402,50,1.528182,0.850402,50,yes
runs\sweep_20250821_212937\XS_seed1,XS,,,15000,,,,,1.095922,0.575969,14570,1.098602,0.552266,15000,yes
runs\sweep_gpu_long_M\M_V1024_B4x8_S40000_seed7,M,1024,19440641,40000,4,8,32,E:\Code\scalinglaws\scalinglaws\data\census_subset.D10000.V1024.log1p.h5ad,1.165283,0.578063,40000,1.165283,0.578063,40000,yes
runs\sweep_gpu_long_S\S_V1024_B4x8_S60000_seed7,S,1024,924673,60000,4,8,32,E:\Code\scalinglaws\scalinglaws\data\census_subset.D10000.V1024.log1p.h5ad,1.140201,0.622671,58000,1.140498,0.577631,60000,yes
runs\sweep_gpu_scaling\S_V1024_B8x8_S400_seed7,S,1024,924673,400,8,8,64,E:\Code\scalinglaws\scalinglaws\data\census_subset.D10000.V1024.log1p.h5ad,1.587749,0.903968,320,1.627389,0.968768,400,yes
runs\sweep_gpu_scaling\XS_V1024_B8x8_S400_seed7,XS,1024,165761,400,8,8,64,E:\Code\scalinglaws\scalinglaws\data\census_subset.D10000.V1024.log1p.h5ad,1.553583,0.797773,320,1.556728,0.859164,400,yes
runs\sweep_gpu_scaling_L\L_V1024_B4x8_S20000_seed7,L,1024,101033041,20000,4,8,32,E:\Code\scalinglaws\scalinglaws\data\census_subset.D10000.V1024.log1p.h5ad,1.206151,0.713725,20000,1.206151,0.713725,20000,yes
runs\sweep_gpu_scaling_XL\XL_V1024_B2x16_S20000_seed7,XL,1024,341557249,20000,2,16,32,E:\Code\scalinglaws\scalinglaws\data\census_subset.D10000.V1024.log1p.h5ad,1.258594,0.619089,16000,1.432570,0.676131,20000,yes
runs\sweep_gpu_scaling_XSSM\M_V1024_B4x8_S20000_seed7,M,1024,19440641,20000,4,8,32,E:\Code\scalinglaws\scalinglaws\data\census_subset.D10000.V1024.log1p.h5ad,1.207964,0.628830,16000,1.217832,0.561504,20000,yes
runs\sweep_gpu_scaling_XSSM\S_V1024_B4x8_S20000_seed7,S,1024,924673,20000,4,8,32,E:\Code\scalinglaws\scalinglaws\data\census_subset.D10000.V1024.log1p.h5ad,1.191612,0.611241,20000,1.191612,0.611241,20000,yes
runs\sweep_gpu_scaling_XSSM\XS_V1024_B4x8_S20000_seed7,XS,1024,165761,20000,4,8,32,E:\Code\scalinglaws\scalinglaws\data\census_subset.D10000.V1024.log1p.h5ad,1.187560,0.636630,20000,1.187560,0.636630,20000,yes
runs\sweep_smoke\S_V1024_B4x4_S30_seed1,S,1024,924673,30,4,4,16,E:\Code\scalinglaws\scalinglaws\data\census_subset.D10000.V1024.log1p.h5ad,1.906026,1.130466,30,1.906026,1.130466,30,yes
runs\sweep_smoke\XS_V1024_B4x4_S30_seed1,XS,1024,165761,30,4,4,16,E:\Code\scalinglaws\scalinglaws\data\census_subset.D10000.V1024.log1p.h5ad,1.871250,0.799323,30,1.871250,0.799323,30,yes
